index_label,频道id,频道名称,视频id,videoURL,shareURL,时长,发布时间,播放量,点赞数,标题,主题,星座,职业,年龄,关注人数,性别,是否为大V,地址,昵称,视频数量,用户ID
21,67,我的日常不无聊,5065795819313218775,http://video.cdnvue.com/uploads/4220918443654280849/video/b1hLSx6,https://v.vuevideo.net/share/post/5065795819313218775,28090,2020-02-26 01:28:41.098,3,0,我的日常不无聊,,无,无,90后,0,FEMALE,False,中国-上海-静安,娜娜,2,75363899
22,67,我的日常不无聊,1568061794760414921,http://video.cdnvue.com/uploads/6006552908430078389/video/b1gYCu0,https://v.vuevideo.net/share/post/1568061794760414921,42500,2020-02-25 22:12:56.820,7,0,我在 VUE 的第一条 Vlog,北漂女孩回京记,,,90后,0,FEMALE,False,北京 丰台,追风少年-刘大宝,1,512592606
23,67,我的日常不无聊,-7610554466925810688,http://video.cdnvue.com/uploads/-4306360392814688956/video/b1gRKdH,https://v.vuevideo.net/share/post/-7610554466925810688,30500,2020-02-25 21:46:03.610,67,2,一·俩·仨,,,,70后,0,FEMALE,False,四川 凉山,孔孔的映像笔记,9,13026478
24,67,我的日常不无聊,-6885835945610300920,http://video.cdnvue.com/uploads/4084143378604088179/video/b1f7rN7,https://v.vuevideo.net/share/post/-6885835945610300920,26700,2020-02-25 20:28:22.871,0,0,杨美丽出门买菜,,GEMINI,娱乐业,80后,0,FEMALE,False,西安市,杨美丽二胖子,11,5021977023015
25,67,我的日常不无聊,5166452027548818301,http://video.cdnvue.com/uploads/-7852742310653519600/video/b1f2YPT,https://v.vuevideo.net/share/post/5166452027548818301,98203,2020-02-25 20:07:16.146,43,1,常常 ,,无,无,70后,1,FEMALE,False,中国-河北-保定,常常,39,26026227
26,67,我的日常不无聊,2193396544690401327,http://video.cdnvue.com/uploads/-2759514063164370078/video/b1fou84,https://v.vuevideo.net/share/post/2193396544690401327,200500,2020-02-25 19:18:26.097,86,1,泥巴史莱姆,解压玩具各种揉捏,VIRGO,咖啡,80后,127,FEMALE,False,大连市,韩文,38,21919099268
27,67,我的日常不无聊,-1754852601002240549,http://video.cdnvue.com/uploads/-8468467793912853090/video/b1foHfq,https://v.vuevideo.net/share/post/-1754852601002240549,78421,2020-02-25 19:10:51.512,35,1,直播工具,,无,无,70后,0,FEMALE,False,中国-江西-赣州,刘红花安美拉&氧气花园,64,523045368
28,67,我的日常不无聊,8011991840089137630,http://video.cdnvue.com/uploads/3079173501466627129/video/b1fD6i2,https://v.vuevideo.net/share/post/8011991840089137630,15100,2020-02-25 16:46:49.430,45,1,海边露营🏕️,,LIBRA,教师,80后,0,FEMALE,False,福建 厦门,王容,83,4911284640622
29,67,我的日常不无聊,-3750913468646254313,http://video.cdnvue.com/uploads/-4722268292384679941/video/b1fDVeE,https://v.vuevideo.net/share/post/-3750913468646254313,20534,2020-02-25 16:44:39.214,0,0,玲子 的一天,,无,无,80后,0,FEMALE,False,上海 闵行,玲子,5,860064347
30,67,我的日常不无聊,-8853793083153722273,http://video.cdnvue.com/uploads/3079173501466627129/video/b1fCPqU,https://v.vuevideo.net/share/post/-8853793083153722273,15100,2020-02-25 16:40:06.522,39,1,海边露营🏕️,,LIBRA,教师,80后,0,FEMALE,False,福建 厦门,王容,83,4911284640622
31,67,我的日常不无聊,-1742256884323860034,http://video.cdnvue.com/uploads/5465228034455489499/video/b1e81lJ,https://v.vuevideo.net/share/post/-1742256884323860034,27925,2020-02-25 16:26:47.657,51,1,天高云淡的一天,,VIRGO,金融业,80后,0,FEMALE,False,临沂市,境随心转,30,2612119322471
32,67,我的日常不无聊,6737371676534237225,http://video.cdnvue.com/uploads/-4537250291600061375/video/b1eHurf,https://v.vuevideo.net/share/post/6737371676534237225,101100,2020-02-25 12:55:46.815,39,1,🚀🚀的一天,"Miss You😘 almost every minutes 
#隐世生活 #我的日常不无聊 ",GEMINI,銷售,60后,1,FEMALE,False,美国-科罗拉多-大章克申,schiavetta,38,juliawangzhirong
